url,Prices,Model_Name
https://www.trocafone.com/vender/motorola/moto-e-2a-geracao-3g-dual/623-motorola-moto-e2-16gb-3g-dual-preto,84,Motorola Moto E2 16GB 3G Dual Preto
https://www.trocafone.com/vender/lenovo/vibe-a7010-dual-chip/538-lenovo-vibe-a7010-dual-chip-preto,207,Lenovo Vibe A7010 Dual Chip Preto
https://www.trocafone.com/vender/ipad/2-wi-fi/184-ipad-2-wi-fi-64gb-preto,114,iPad 2 Wi-Fi 64GB Preto
https://www.trocafone.com/vender/ipad/2-wi-fi/185-ipad-2-wi-fi-64gb-branco,114,iPad 2 Wi-Fi 64GB Branco
https://www.trocafone.com/vender/ipad/2-wi-fi/182-ipad-2-wi-fi-32gb-preto,105,iPad 2 Wi-Fi 32GB Preto
https://www.trocafone.com/vender/ipad/2-wi-fi/183-ipad-2-wi-fi-32gb-branco,105,iPad 2 Wi-Fi 32GB Branco
https://www.trocafone.com/vender/ipad/2-wi-fi/180-ipad-2-wi-fi-16gb-preto,79,iPad 2 Wi-Fi 16GB Preto
https://www.trocafone.com/vender/samsung/galaxy-s8/905-samsung-galaxy-s8-ametista,814,Samsung Galaxy S8 Ametista
https://www.trocafone.com/vender/samsung/galaxy-s8-plus/941-samsung-galaxy-s8-plus-128gb-preto,1065,Samsung Galaxy S8 Plus 128GB Preto
https://www.trocafone.com/vender/samsung/samsung-gran-prime-duos-tv/365-samsung-galaxy-gran-prime-duos-tv-preto,30,Samsung Galaxy Gran Prime Duos TV Preto
https://www.trocafone.com/vender/samsung/samsung-gran-prime-duos-tv/366-samsung-galaxy-gran-prime-duos-tv-dourado,30,Samsung Galaxy Gran Prime Duos TV Dourado
https://www.trocafone.com/vender/samsung/samsung-gran-prime-duos-tv/595-samsung-galaxy-gran-prime-duos-tv-cinza,30,Samsung Galaxy Gran Prime Duos TV Cinza
https://www.trocafone.com/vender/samsung/galaxy-grand-duos-i9082/150-samsung-galaxy-grand-duos-i9082-preto,30,Samsung Galaxy Grand Duos i9082 Preto
https://www.trocafone.com/vender/samsung/galaxy-grand-duos-i9082/151-samsung-galaxy-grand-duos-i9082-branco,30,Samsung Galaxy Grand Duos i9082 Branco
https://www.trocafone.com/vender/samsung/galaxy-j1-2016/514-samsung-galaxy-j1-2016-preto,30,Samsung Galaxy J1 2016 Preto
https://www.trocafone.com/vender/samsung/galaxy-j1-2016/515-samsung-galaxy-j1-2016-dourado,30,Samsung Galaxy J1 2016 Dourado
https://www.trocafone.com/vender/samsung/galaxy-j1-mini/508-samsung-galaxy-j1-mini-preto,30,Samsung Galaxy J1 Mini Preto
https://www.trocafone.com/vender/samsung/galaxy-j1-mini/509-samsung-galaxy-j1-mini-dourado,30,Samsung Galaxy J1 Mini Dourado
https://www.trocafone.com/vender/samsung/galaxy-a3-2016/762-samsung-galaxy-a3-2016-rose,171,Samsung Galaxy A3 2016 Rose
https://www.trocafone.com/vender/samsung/galaxy-a3-2016/664-samsung-galaxy-a3-2016-preto,171,Samsung Galaxy A3 2016 Preto
https://www.trocafone.com/vender/samsung/galaxy-gran-neo-duos/895-samsung-galaxy-gran-neo-duos-branco,50,Samsung Galaxy Gran Neo Duos Branco
https://www.trocafone.com/vender/samsung/galaxy-gran-neo-plus-duos/897-samsung-galaxy-gran-neo-plus-duos-branco,60,Samsung Galaxy Gran Neo Plus Duos Branco
https://www.trocafone.com/vender/iphone/6-plus/179-iphone-6-plus-128gb-dourado,747,Iphone 6 Plus 128GB Dourado
https://www.trocafone.com/vender/samsung/samsung-gran-prime-duos-tv/364-samsung-galaxy-gran-prime-duos-tv-branco,30,Samsung Galaxy Gran Prime Duos TV Branco
https://www.trocafone.com/vender/samsung/galaxy-grand-duos-i9082/157-samsung-galaxy-grand-duos-i9082-azul,30,Samsung Galaxy Grand Duos i9082 Azul
https://www.trocafone.com/vender/samsung/galaxy-j1-2016/513-samsung-galaxy-j1-2016-branco,30,Samsung Galaxy J1 2016 Branco
https://www.trocafone.com/vender/samsung/galaxy-j1-mini/507-samsung-galaxy-j1-mini-branco,30,Samsung Galaxy J1 Mini Branco
https://www.trocafone.com/vender/samsung/galaxy-a3-2016/665-samsung-galaxy-a3-2016-dourado,171,Samsung Galaxy A3 2016 Dourado
https://www.trocafone.com/vender/iphone/7/704-iphone-7-32gb-preto-matte,900,iPhone 7 32GB Preto Matte
https://www.trocafone.com/vender/iphone/7-plus/719-iphone-7-plus-32gb-preto-matte,1055,iPhone 7 Plus 32GB Preto Matte
https://www.trocafone.com/vender/iphone/6s/636-iphone-6s-32gb-prateado,704,iPhone 6s 32GB Prateado
https://www.trocafone.com/vender/iphone/6s/637-iphone-6s-32gb-ouro-rosa,704,iPhone 6s 32GB Ouro Rosa
https://www.trocafone.com/vender/iphone/6s/635-iphone-6s-32gb-cinza-espacial,704,iPhone 6s 32GB Cinza Espacial
https://www.trocafone.com/vender/iphone/6s/483-iphone-6s-64gb-prateado,719,iPhone 6S 64GB Prateado
https://www.trocafone.com/vender/iphone/6s/486-iphone-6s-64gb-ouro-rosa,719,iPhone 6S 64GB Ouro Rosa
https://www.trocafone.com/vender/iphone/6s/484-iphone-6s-64gb-dourado,719,iPhone 6S 64GB Dourado
https://www.trocafone.com/vender/iphone/6s/485-iphone-6s-64gb-cinza-espacial,719,iPhone 6S 64GB Cinza Espacial
https://www.trocafone.com/vender/iphone/6s/479-iphone-6s-16gb-prateado,652,iPhone 6S 16GB Prateado
